"KOD_ZSJ","MOP"
113972,"OOP Ostrava - Mariánské Hory"
113981,"OOP Ostrava - Mariánské Hory"
113999,"OOP Ostrava - Mariánské Hory"
114006,"OOP Ostrava - Mariánské Hory"
114014,"OOP Ostrava - Vítkovice"
114022,"OOP Ostrava - Vítkovice"
114031,"OOP Ostrava - Vítkovice"
114049,"OOP Ostrava - Vítkovice"
114057,"OOP Ostrava - Vítkovice"
114065,"OOP Ostrava - Vítkovice"
114073,"OOP Ostrava - Vítkovice"
114081,"OOP Ostrava - Vítkovice"
114090,"OOP Ostrava - Vítkovice"
114103,"OOP Ostrava - Vítkovice"
114111,"OOP Ostrava - Vítkovice"
114120,"OOP Ostrava - Mariánské Hory"
114138,"OOP Ostrava - Vítkovice"
114146,"OOP Ostrava - Mariánské Hory"
114154,"OOP Ostrava - Mariánské Hory"
114162,"OOP Slezská Ostrava"
114171,"OOP Slezská Ostrava"
114189,"OOP Slezská Ostrava"
114197,"OOP Slezská Ostrava"
114201,"OOP Vratimov"
114219,"OOP Vratimov"
114227,"OOP Vratimov"
114235,"OOP Vratimov"
114243,"OOP Slezská Ostrava"
114251,"OOP Slezská Ostrava"
114260,"OOP Vratimov"
114278,"OOP Ostrava - Vítkovice"
114286,"OOP Ostrava - Hrabůvka"
114294,"OOP Ostrava - Zábřeh"
114308,"OOP Ostrava - Vítkovice"
114316,"OOP Ostrava - Vítkovice"
114324,"OOP Ostrava - Vítkovice"
114332,"OOP Ostrava - Vítkovice"
114341,"OOP Ostrava - Zábřeh"
114359,"OOP Ostrava - Zábřeh"
114367,"OOP Ostrava - Zábřeh"
114375,"OOP Ostrava - Zábřeh"
114383,"OOP Ostrava - Zábřeh"
114391,"OOP Ostrava - Zábřeh"
114405,"OOP Ostrava - Zábřeh"
114413,"OOP Ostrava - Zábřeh"
114421,"OOP Ostrava - Zábřeh"
114430,"OOP Ostrava - Zábřeh"
114448,"OOP Ostrava - Zábřeh"
114456,"OOP Ostrava - Zábřeh"
114464,"OOP Ostrava - Hrabůvka"
114472,"OOP Ostrava - Hrabůvka"
114481,"OOP Ostrava - Hrabůvka"
114499,"OOP Ostrava - Hrabůvka"
114502,"OOP Ostrava - Hrabůvka"
114511,"OOP Ostrava - Hrabůvka"
114529,"OOP Ostrava - Hrabůvka"
114537,"OOP Ostrava - Hrabůvka"
114545,"OOP Ostrava - Hrabůvka"
114553,"OOP Ostrava - Hrabůvka"
114561,"OOP Ostrava - Hrabůvka"
114570,"OOP Ostrava - Hrabůvka"
114588,"OOP Ostrava - Hrabůvka"
114596,"OOP Ostrava - Hrabůvka"
114600,"OOP Ostrava - Hrabůvka"
114618,"OOP Ostrava - Hrabůvka"
114626,"OOP Slezská Ostrava"
114634,"OOP Slezská Ostrava"
114642,"OOP Slezská Ostrava"
114651,"OOP Slezská Ostrava"
114669,"OOP Slezská Ostrava"
114677,"OOP Slezská Ostrava"
114685,"OOP Slezská Ostrava"
114693,"OOP Slezská Ostrava"
114707,"OOP Slezská Ostrava"
114715,"OOP Slezská Ostrava"
114723,"OOP Slezská Ostrava"
114731,"OOP Slezská Ostrava"
114740,"OOP Slezská Ostrava"
114758,"OOP Slezská Ostrava"
114766,"OOP Slezská Ostrava"
114774,"OOP Slezská Ostrava"
114782,"OOP Slezská Ostrava"
114791,"OOP Slezská Ostrava"
114804,"OOP Slezská Ostrava"
114812,"OOP Slezská Ostrava"
114821,"OOP Slezská Ostrava"
114839,"OOP Slezská Ostrava"
114847,"OOP Slezská Ostrava"
114855,"OOP Slezská Ostrava"
114863,"OOP Slezská Ostrava"
114871,"OOP Slezská Ostrava"
114880,"OOP Slezská Ostrava"
114898,"OOP Slezská Ostrava"
114901,"OOP Slezská Ostrava"
114910,"OOP Slezská Ostrava"
114928,"OOP Slezská Ostrava"
114936,"OOP Slezská Ostrava"
114944,"OOP Slezská Ostrava"
114952,"OOP Slezská Ostrava"
114961,"OOP Slezská Ostrava"
114979,"OOP Slezská Ostrava"
114987,"OOP Slezská Ostrava"
114995,"OOP Slezská Ostrava"
115002,"OOP Slezská Ostrava"
115011,"OOP Slezská Ostrava"
115029,"OOP Slezská Ostrava"
115037,"OOP Slezská Ostrava"
115045,"OOP Slezská Ostrava"
115053,"OOP Slezská Ostrava"
115061,"OOP Slezská Ostrava"
115070,"OOP Slezská Ostrava"
115088,"OOP Vratimov"
115096,"OOP Vratimov"
115100,"OOP Slezská Ostrava"
115118,"OOP Slezská Ostrava"
115126,"OOP Slezská Ostrava"
115134,"OOP Ostrava - Poruba 1"
115142,"OOP Ostrava - Poruba 1"
115151,"OOP Ostrava - Poruba 1"
115169,"OOP Ostrava - Poruba 1"
115177,"OOP Ostrava - Poruba 1"
115185,"OOP Ostrava - Poruba 1"
115193,"OOP Ostrava - Poruba 1"
115207,"OOP Ostrava - Poruba 1"
115215,"OOP Ostrava - Poruba 1"
115223,"OOP Ostrava - Poruba 2"
115231,"OOP Ostrava - Poruba 2"
115240,"OOP Ostrava - Poruba 1"
115258,"OOP Ostrava - Poruba 1"
115266,"OOP Ostrava - Poruba 2"
115274,"OOP Ostrava - Poruba 2"
115282,"OOP Ostrava - Poruba 2"
115291,"OOP Ostrava - Poruba 2"
115304,"OOP Ostrava - Poruba 2"
115312,"OOP Ostrava - Poruba 2"
115321,"OOP Ostrava - Poruba 2"
115339,"OOP Ostrava - Poruba 2"
115347,"OOP Ostrava - Poruba 2"
115355,"OOP Ostrava - Poruba 2"
115363,"OOP Ostrava - Poruba 2"
115371,"OOP Ostrava - Poruba 2"
115380,"OOP Ostrava - Poruba 2"
115398,"OOP Ostrava - Poruba 2"
115401,"OOP Ostrava - Poruba 2"
115410,"OOP Ostrava - Poruba 2"
115428,"OOP Ostrava - Poruba 2"
115436,"OOP Ostrava - Poruba 2"
115444,"OOP Ostrava - Poruba 2"
115452,"OOP Ostrava - Poruba 1"
115461,"OOP Ostrava - Poruba 1"
115479,"OOP Ostrava - Poruba 1"
115487,"OOP Ostrava - Poruba 1"
115495,"OOP Ostrava - Poruba 1"
115509,"OOP Ostrava - Poruba 1"
115517,"OOP Ostrava - Poruba 1"
115525,"OOP Ostrava - Poruba 1"
115533,"OOP Ostrava - Poruba 2"
115541,"OOP Ostrava - Poruba 1"
115550,"OOP Ostrava - Poruba 1"
115568,"OOP Ostrava - Poruba 1"
115576,"OOP Ostrava - Poruba 1"
115584,"OOP Ostrava - Zábřeh"
115592,"OOP Ostrava - Zábřeh"
115606,"OOP Ostrava - Zábřeh"
115614,"OOP Ostrava - Zábřeh"
115622,"OOP Ostrava - Zábřeh"
115631,"OOP Ostrava - Zábřeh"
120472,"OOP Ostrava - Přívoz"
120481,"OOP Petřvald"
120987,"MOP Lhotka Praha IV."
121665,"OOP Ostrava - Poruba 2"
121673,"OOP Ostrava - Poruba 2"
121681,"OOP Ostrava - Poruba 2"
121983,"OOP Plzeň - střed"
121991,"OOP Plzeň - střed"
122009,"OOP Plzeň - střed"
122017,"OOP Plzeň - střed"
122025,"OOP Plzeň - střed"
122033,"OOP Plzeň - Vinice"
122041,"OOP Plzeň - Vinice"
122050,"OOP Plzeň - Vinice"
122068,"OOP Plzeň - střed"
122076,"OOP Plzeň - střed"
122084,"OOP Plzeň - střed"
122092,"OOP Plzeň - střed"
122106,"OOP Plzeň 1"
122114,"OOP Plzeň 1"
122122,"OOP Plzeň 1"
122131,"OOP Plzeň - Vinice"
122149,"OOP Plzeň - Vinice"
122157,"OOP Plzeň 1"
122165,"OOP Plzeň - Vinice"
122173,"OOP Plzeň - Vinice"
122181,"OOP Plzeň 1"
122190,"OOP Plzeň 2"
122203,"OOP Plzeň 2"
122211,"OOP Plzeň 2"
122220,"OOP Plzeň 2"
122238,"OOP Plzeň 2"
122246,"OOP Plzeň 2"
122254,"OOP Plzeň 2"
122262,"OOP Plzeň 2"
122271,"OOP Plzeň 2"
122289,"OOP Plzeň 2"
122297,"OOP Plzeň 2"
122301,"OOP Plzeň 2"
122319,"OOP Plzeň 2"
122327,"OOP Plzeň 2"
122335,"OOP Plzeň 2"
122343,"OOP Plzeň 2"
122351,"OOP Plzeň 2"
122360,"OOP Plzeň 2"
122378,"OOP Plzeň - Bory"
122386,"OOP Plzeň - Bory"
122394,"OOP Plzeň - Bory"
122408,"OOP Plzeň - Bory"
122416,"OOP Plzeň - Bory"
122424,"OOP Plzeň - Bory"
122432,"OOP Plzeň - Bory"
122441,"OOP Plzeň - Bory"
122459,"OOP Plzeň - Bory"
122467,"OOP Plzeň - Bory"
122475,"OOP Plzeň - Bory"
122483,"OOP Plzeň - Bory"
122491,"OOP Plzeň - Bory"
122505,"OOP Plzeň - Bory"
122513,"OOP Plzeň - Bory"
122521,"OOP Plzeň - Bory"
122530,"OOP Plzeň - Bory"
122556,"OOP Plzeň - Skvrňany"
122564,"OOP Plzeň - Skvrňany"
122572,"OOP Plzeň - Skvrňany"
122581,"OOP Plzeň - Skvrňany"
122599,"OOP Plzeň - Skvrňany"
122602,"OOP Plzeň - Skvrňany"
122611,"OOP Plzeň 4"
122629,"OOP Plzeň 4"
122637,"OOP Plzeň 4"
122645,"OOP Plzeň 4"
122653,"OOP Plzeň 4"
122661,"OOP Plzeň 4"
122670,"OOP Plzeň 4"
122688,"OOP Plzeň 4"
122696,"OOP Plzeň 4"
122700,"OOP Plzeň 4"
122718,"OOP Plzeň 4"
122726,"OOP Plzeň 4"
122734,"OOP Plzeň 4"
122742,"OOP Plzeň - Bory"
125075,"OOP Ostrava - Poruba 1"
125083,"OOP Ostrava - Poruba 1"
126993,"MOP Bartolomějská Praha I."
127001,"MOP Benediktská Praha I."
127019,"MOP Benediktská Praha I."
127027,"MOP Benediktská Praha I."
127035,"MOP Benediktská Praha I."
127043,"OŽP Masarykovo nádraží Praha I."
127051,"MOP Benediktská Praha I."
127060,"MOP Wilsonovo nádraží Praha I."
127078,"MOP Krakovská Praha I."
127086,"MOP Bartolomějská Praha I."
127094,"MOP Malá Strana Praha I."
127108,"MOP Malá Strana Praha I."
127116,"MOP Malá Strana Praha I."
127124,"MOP Malá Strana Praha I."
127132,"MOP Malá Strana Praha I."
127141,"MOP Malá Strana Praha I."
127159,"MOP Letná Praha I."
127167,"MOP Vinohrady Praha II."
127175,"MOP Vinohrady Praha II."
127183,"MOP Nové Město Praha II."
127191,"MOP Nové Město Praha II."
127205,"MOP Vinohrady Praha II."
127213,"MOP Wilsonovo nádraží Praha I."
127221,"MOP Vinohrady Praha II."
127230,"MOP Vinohrady Praha II."
127248,"MOP Vinohrady Praha II."
127256,"MOP Vinohrady Praha II."
127264,"MOP Vinohrady Praha II."
127272,"MOP Vinohrady Praha II."
127281,"MOP Nové Město Praha II."
127299,"MOP Nové Město Praha II."
127302,"MOP Nové Město Praha II."
127311,"MOP Nové Město Praha II."
127329,"MOP Nové Město Praha II."
127337,"MOP Jarov Praha III."
127345,"MOP Jarov Praha III."
127353,"MOP Jarov Praha III."
127361,"MOP Jarov Praha III."
127370,"MOP Žižkov Praha III."
127388,"MOP Žižkov Praha III."
127396,"MOP Žižkov Praha III."
127400,"MOP Karlín Praha III."
127418,"MOP Jarov Praha III."
127426,"MOP Jarov Praha III."
127434,"MOP Vysočany Praha III."
127442,"MOP Jarov Praha III."
127451,"MOP Jarov Praha III."
127469,"MOP Jarov Praha III."
127485,"MOP Jarov Praha III."
127493,"MOP Jarov Praha III."
127507,"MOP Jarov Praha III."
127515,"MOP Žižkov Praha III."
127523,"MOP Žižkov Praha III."
127531,"MOP Žižkov Praha III."
127540,"MOP Žižkov Praha III."
127558,"MOP Žižkov Praha III."
127566,"MOP Žižkov Praha III."
127574,"MOP Žižkov Praha III."
127582,"MOP Žižkov Praha III."
127591,"MOP Podolí Praha IV."
127604,"MOP Podolí Praha IV."
127612,"MOP Podolí Praha IV."
127621,"MOP Podolí Praha IV."
127639,"MOP Pankrác Praha IV."
127647,"MOP Pankrác Praha IV."
127655,"MOP Lhotka Praha IV."
127663,"MOP Lhotka Praha IV."
127671,"MOP Podolí Praha IV."
127680,"MOP Podolí Praha IV."
127698,"MOP Podolí Praha IV."
127701,"MOP Podolí Praha IV."
127710,"MOP Podolí Praha IV."
127728,"MOP Pankrác Praha IV."
127736,"MOP Pankrác Praha IV."
127744,"MOP Nusle Praha IV."
127752,"MOP Nusle Praha IV."
127761,"MOP Spořilov Praha IV."
127779,"MOP Spořilov Praha IV."
127787,"MOP Lhotka Praha IV."
127795,"MOP Modřany Praha IV."
127809,"MOP Lhotka Praha IV."
127817,"MOP Lhotka Praha IV."
127825,"MOP Lhotka Praha IV."
127833,"MOP Modřany Praha IV."
127841,"MOP Modřany Praha IV."
127850,"MOP Modřany Praha IV."
127868,"MOP Modřany Praha IV."
127876,"MOP Podolí Praha IV."
127884,"MOP Podolí Praha IV."
127892,"MOP Podolí Praha IV."
127906,"MOP Pankrác Praha IV."
127914,"MOP Pankrác Praha IV."
127922,"MOP Pankrác Praha IV."
127931,"MOP Pankrác Praha IV."
127949,"MOP Pankrác Praha IV."
127957,"MOP Nusle Praha IV."
127965,"MOP Nusle Praha IV."
127973,"MOP Spořilov Praha IV."
127981,"MOP Spořilov Praha IV."
127990,"MOP Spořilov Praha IV."
128007,"MOP Spořilov Praha IV."
128015,"MOP Spořilov Praha IV."
128023,"MOP Spořilov Praha IV."
128031,"MOP Lhotka Praha IV."
128040,"MOP Spořilov Praha IV."
128058,"MOP Lhotka Praha IV."
128066,"MOP Lhotka Praha IV."
128074,"MOP Lhotka Praha IV."
128082,"MOP Modřany Praha IV."
128091,"MOP Modřany Praha IV."
128104,"MOP Modřany Praha IV."
128112,"MOP Podolí Praha IV."
128121,"MOP Podolí Praha IV."
128139,"MOP Podolí Praha IV."
128147,"MOP Pankrác Praha IV."
128155,"MOP Pankrác Praha IV."
128163,"MOP Nusle Praha IV."
128171,"MOP Nusle Praha IV."
128180,"MOP Nusle Praha IV."
128198,"MOP Nusle Praha IV."
128201,"MOP Spořilov Praha IV."
128210,"MOP Spořilov Praha IV."
128228,"MOP Jižní Město 1 Praha IV."
128236,"MOP Jižní Město 1 Praha IV."
128244,"MOP Jižní Město 1 Praha IV."
128252,"MOP Jižní Město 1 Praha IV."
128261,"MOP Jižní Město 1 Praha IV."
128279,"MOP Jižní Město 1 Praha IV."
128287,"MOP Jižní Město 1 Praha IV."
