Obec/město/KATASTR,Okres,Kraj,PČR útvar,Číslo katastru,Původní (chybné) zařazení/Poznámka,PRIORITA
Medlov,Olomouc,Olomoucký kraj,OOP Uničov,,,
Nová Hradečná,Olomouc,Olomoucký kraj,OOP Uničov,,,
Paseka,Olomouc,Olomoucký kraj,OOP Uničov,,,
Šumvald,Olomouc,Olomoucký kraj,OOP Uničov,,,
Troubelice,Olomouc,Olomoucký kraj,OOP Uničov,,,
Újezd,Olomouc,Olomoucký kraj,OOP Uničov,,,
Uničov,Olomouc,Olomoucký kraj,OOP Uničov,,,
Želechovice,Olomouc,Olomoucký kraj,OOP Uničov,,,
Batňovice,Trutnov,Královéhradecký kraj,OOP Úpice,,,
Hajnice,Trutnov,Královéhradecký kraj,OOP Úpice,,,
Havlovice,Trutnov,Královéhradecký kraj,OOP Úpice,,,
Libňatov,Trutnov,Královéhradecký kraj,OOP Úpice,,,
Malé Svatoňovice,Trutnov,Královéhradecký kraj,OOP Úpice,,,
Maršov u Úpice,Trutnov,Královéhradecký kraj,OOP Úpice,,,
Rtyně v Podkrkonoší,Trutnov,Královéhradecký kraj,OOP Úpice,,,
Suchovršice,Trutnov,Královéhradecký kraj,OOP Úpice,,,
Úpice,Trutnov,Královéhradecký kraj,OOP Úpice,,,
Velké Svatoňovice,Trutnov,Královéhradecký kraj,OOP Úpice,,,
BUKOV,Ústí nad Labem,Ústecký kraj,OOP Ústí N/Labem - Město,775096,"Pouze západní část, vymezená ulicí Masarykova a Božtětická (důležité, v té části je městská nemocnice)",2
Chuderov,Ústí nad Labem,Ústecký kraj,OOP Ústí N/Labem - Město,,,
Dolní Zálezly,Ústí nad Labem,Ústecký kraj,OOP Ústí N/Labem - Město,,,
Ústí nad Labem,Ústí nad Labem,Ústecký kraj,OOP Ústí N/Labem - Město,,přesné vymezení vyplyne z vymezení okolních oop,2
České Libchavy,Ústí nad Orlicí,Pardubický kraj,OOP Ústí nad Orlicí,,,
Dlouhá Třebová,Ústí nad Orlicí,Pardubický kraj,OOP Ústí nad Orlicí,,,
Hnátnice,Ústí nad Orlicí,Pardubický kraj,OOP Ústí nad Orlicí,,,
Hrádek,Ústí nad Orlicí,Pardubický kraj,OOP Ústí nad Orlicí,,,
Libchavy,Ústí nad Orlicí,Pardubický kraj,OOP Ústí nad Orlicí,,,
Orlické Podhůří,Ústí nad Orlicí,Pardubický kraj,OOP Ústí nad Orlicí,,,
Řetová,Ústí nad Orlicí,Pardubický kraj,OOP Ústí nad Orlicí,,,
Řetůvka,Ústí nad Orlicí,Pardubický kraj,OOP Ústí nad Orlicí,,,
Sopotnice,Ústí nad Orlicí,Pardubický kraj,OOP Ústí nad Orlicí,,,
Ústí nad Orlicí,Ústí nad Orlicí,Pardubický kraj,OOP Ústí nad Orlicí,,,
Velká Skrovnice,Ústí nad Orlicí,Pardubický kraj,OOP Ústí nad Orlicí,,,
Dobročovice,Praha-východ,Středočeský kraj,OOP Úvaly,,,
Horoušany,Praha-východ,Středočeský kraj,OOP Úvaly,,,
Jirny,Praha-východ,Středočeský kraj,OOP Úvaly,,"Část nad dálnicí patří pod OOP Čelákovice, ale je to nevýznamné z pohledu počtu obyvatel; může tam být ale hodně krádeží, je to skladový areál",4
Květnice,Praha-východ,Středočeský kraj,OOP Úvaly,,,
Šestajovice,Praha-východ,Středočeský kraj,OOP Úvaly,,,
Sibřina,Praha-východ,Středočeský kraj,OOP Úvaly,,,
Škvorec,Praha-východ,Středočeský kraj,OOP Úvaly,,,
Sluštice,Praha-východ,Středočeský kraj,OOP Úvaly,,,
Úvaly,Praha-východ,Středočeský kraj,OOP Úvaly,,,
Zlatá,Praha-východ,Středočeský kraj,OOP Úvaly,,,
Brumov-Bylnice,Zlín,Zlínský kraj,OOP Valašské Klobouky,,,
Drnovice,Zlín,Zlínský kraj,OOP Valašské Klobouky,,,
Haluzice,Zlín,Zlínský kraj,OOP Valašské Klobouky,,,
Křekov,Zlín,Zlínský kraj,OOP Valašské Klobouky,,,
Loučka,Zlín,Zlínský kraj,OOP Valašské Klobouky,,,
Návojná,Zlín,Zlínský kraj,OOP Valašské Klobouky,,,
Nedašov,Zlín,Zlínský kraj,OOP Valašské Klobouky,,,
Nedašova Lhota,Zlín,Zlínský kraj,OOP Valašské Klobouky,,,
Poteč,Zlín,Zlínský kraj,OOP Valašské Klobouky,,,
Štítná nad Vláří-Popov,Zlín,Zlínský kraj,OOP Valašské Klobouky,,,
Tichov,Zlín,Zlínský kraj,OOP Valašské Klobouky,,,
Újezd,Zlín,Zlínský kraj,OOP Valašské Klobouky,,,
Valašské Klobouky,Zlín,Zlínský kraj,OOP Valašské Klobouky,,,
Vlachova Lhota,Zlín,Zlínský kraj,OOP Valašské Klobouky,,,
Vlachovice,Zlín,Zlínský kraj,OOP Valašské Klobouky,,,
Vysoké Pole,Zlín,Zlínský kraj,OOP Valašské Klobouky,,,
Branky,Vsetín,Zlínský kraj,OOP Valašské Meziříčí,,,
Choryně,Vsetín,Zlínský kraj,OOP Valašské Meziříčí,,,
Jarcová,Vsetín,Zlínský kraj,OOP Valašské Meziříčí,,,
Kelč,Vsetín,Zlínský kraj,OOP Valašské Meziříčí,,,
Kladeruby,Vsetín,Zlínský kraj,OOP Valašské Meziříčí,,,
Kunovice,Vsetín,Zlínský kraj,OOP Valašské Meziříčí,,,
Lešná,Vsetín,Zlínský kraj,OOP Valašské Meziříčí,,,
Loučka,Vsetín,Zlínský kraj,OOP Valašské Meziříčí,,,
Podolí,Vsetín,Zlínský kraj,OOP Valašské Meziříčí,,,
Police,Vsetín,Zlínský kraj,OOP Valašské Meziříčí,,,
Valašské Meziříčí,Vsetín,Zlínský kraj,OOP Valašské Meziříčí,,,
Dolní Podluží,Děčín,Ústecký kraj,OOP Varnsdorf,,,
Horní Podluží,Děčín,Ústecký kraj,OOP Varnsdorf,,,
Jiřetín pod Jedlovou,Děčín,Ústecký kraj,OOP Varnsdorf,,,
Varnsdorf,Děčín,Ústecký kraj,OOP Varnsdorf,,,
JILMOVÁ,Chomutov,Ústecký kraj,OOP Vejprty,641821,OOP Chomutov Černovická,2
Kovářská,Chomutov,Ústecký kraj,OOP Vejprty,,,
Kryštofovy Hamry,Chomutov,Ústecký kraj,OOP Vejprty,,,
Loučná pod Klínovcem,Chomutov,Ústecký kraj,OOP Vejprty,,,
Měděnec,Chomutov,Ústecký kraj,OOP Vejprty,,,
PODMILESY,Chomutov,Ústecký kraj,OOP Vejprty,630730,OOP Klášterec nad Ohří,2
Vejprty,Chomutov,Ústecký kraj,OOP Vejprty,,,
Výsluní,Chomutov,Ústecký kraj,OOP Vejprty,,,
Březí,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,Bylo OOP Velká Bíteš. Sloučeno pod OOP Velké Meziříčí,2
Březské,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,Bylo OOP Velká Bíteš. Sloučeno pod OOP Velké Meziříčí,2
Heřmanov,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,Bylo OOP Velká Bíteš. Sloučeno pod OOP Velké Meziříčí,2
Křoví,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,Bylo OOP Velká Bíteš. Sloučeno pod OOP Velké Meziříčí,2
Milešín,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,Bylo OOP Velká Bíteš. Sloučeno pod OOP Velké Meziříčí,2
Nová Ves,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,Bylo OOP Velká Bíteš. Sloučeno pod OOP Velké Meziříčí,2
Nové Sady,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,Bylo OOP Velká Bíteš. Sloučeno pod OOP Velké Meziříčí,2
Ořechov,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,Bylo OOP Velká Bíteš. Sloučeno pod OOP Velké Meziříčí,2
Osová Bítýška,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,Bylo OOP Velká Bíteš. Sloučeno pod OOP Velké Meziříčí,2
Radňoves,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,Bylo OOP Velká Bíteš. Sloučeno pod OOP Velké Meziříčí,2
Rozseč,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,Bylo OOP Velká Bíteš. Sloučeno pod OOP Velké Meziříčí,2
Skřinářov,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,Bylo OOP Velká Bíteš. Sloučeno pod OOP Velké Meziříčí,2
Velká Bíteš,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,Bylo OOP Velká Bíteš. Sloučeno pod OOP Velké Meziříčí,2
Vidonín,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,Bylo OOP Velká Bíteš. Sloučeno pod OOP Velké Meziříčí,2
Vlkov,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,Bylo OOP Velká Bíteš. Sloučeno pod OOP Velké Meziříčí,2
Záblatí,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,Bylo OOP Velká Bíteš. Sloučeno pod OOP Velké Meziříčí,2
Bukovany,Olomouc,Olomoucký kraj,OOP Velká Bystřice,,,
ČERMNÁ U MĚSTA LIBAVÁ,Olomouc,Olomoucký kraj,OOP Velká Bystřice,990078,OOP Moravský Beroun,2
Daskabát,Olomouc,Olomoucký kraj,OOP Velká Bystřice,,,
Doloplazy,Olomouc,Olomoucký kraj,OOP Velká Bystřice,,,
DROŽDÍN,Olomouc,Olomoucký kraj,OOP Velká Bystřice,632635,OOP Olomouc 1,2
Hlubočky,Olomouc,Olomoucký kraj,OOP Velká Bystřice,,,
LOŠOV,Olomouc,Olomoucký kraj,OOP Velká Bystřice,686875,OOP Olomouc 1,2
Mrsklesy,Olomouc,Olomoucký kraj,OOP Velká Bystřice,,,
Přáslavice,Olomouc,Olomoucký kraj,OOP Velká Bystřice,,,
RADÍKOV U OLOMOUCE,Olomouc,Olomoucký kraj,OOP Velká Bystřice,737747,OOP Olomouc 1,2
Samotišky,Olomouc,Olomoucký kraj,OOP Velká Bystřice,,,
SLAVKOV U MĚSTA LIBAVÁ,Olomouc,Olomoucký kraj,OOP Velká Bystřice,990205,OOP Moravský Beroun,2
Suchonice,Olomouc,Olomoucký kraj,OOP Velká Bystřice,,,
SVATÝ KOPEČEK,Olomouc,Olomoucký kraj,OOP Velká Bystřice,669288,OOP Olomouc 1,2
Svésedlice,Olomouc,Olomoucký kraj,OOP Velká Bystřice,,,
Tršice,Olomouc,Olomoucký kraj,OOP Velká Bystřice,,,
Velká Bystřice,Olomouc,Olomoucký kraj,OOP Velká Bystřice,,,
VELKÁ STŘELNÁ,Olomouc,Olomoucký kraj,OOP Velká Bystřice,990256,OOP Moravský Beroun,2
Velký Újezd,Olomouc,Olomoucký kraj,OOP Velká Bystřice,,,
Bratříkovice,Opava,Moravskoslezský kraj,OOP Velké Heraltice,,,
Brumovice,Opava,Moravskoslezský kraj,OOP Velké Heraltice,,,
Dolní Životice,Opava,Moravskoslezský kraj,OOP Velké Heraltice,,,
Hlavnice,Opava,Moravskoslezský kraj,OOP Velké Heraltice,,,
Holasovice,Opava,Moravskoslezský kraj,OOP Velké Heraltice,,,
Jakartovice,Opava,Moravskoslezský kraj,OOP Velké Heraltice,,,
Jezdkovice,Opava,Moravskoslezský kraj,OOP Velké Heraltice,,,
Lhotka u Litultovic,Opava,Moravskoslezský kraj,OOP Velké Heraltice,,,
Litultovice,Opava,Moravskoslezský kraj,OOP Velké Heraltice,,,
Mladecko,Opava,Moravskoslezský kraj,OOP Velké Heraltice,,,
Neplachovice,Opava,Moravskoslezský kraj,OOP Velké Heraltice,,,
Sosnová,Opava,Moravskoslezský kraj,OOP Velké Heraltice,,,
Stěbořice,Opava,Moravskoslezský kraj,OOP Velké Heraltice,,,
Velké Heraltice,Opava,Moravskoslezský kraj,OOP Velké Heraltice,,,
Loučná nad Desnou,Šumperk,Olomoucký kraj,OOP Velké Losiny,,,
Petrov nad Desnou,Šumperk,Olomoucký kraj,OOP Velké Losiny,,,
Rapotín,Šumperk,Olomoucký kraj,OOP Velké Losiny,,,
Rejchartice,Šumperk,Olomoucký kraj,OOP Velké Losiny,,,
Sobotín,Šumperk,Olomoucký kraj,OOP Velké Losiny,,,
Velké Losiny,Šumperk,Olomoucký kraj,OOP Velké Losiny,,,
Vernířovice,Šumperk,Olomoucký kraj,OOP Velké Losiny,,,
Baliny,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Blízkov,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Bory,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Březejc,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Černá,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Chlumek,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Dobrá Voda,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Dolní Heřmanice,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Dolní Libochová,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Horní Libochová,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Horní Radslavice,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Jabloňov,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Jívoví,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Kadolec,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Kozlov,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Křižanov,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Kundratice,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Kyjov,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Lavičky,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Martinice,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Měřín,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Moravec,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Netín,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Oslavice,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Osové,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Otín,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Pavlínov,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Petráveč,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Pikárec,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Radenice,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Radkov,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Rousměrov,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Ruda,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Sklené nad Oslavou,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Stránecká Zhoř,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Sviny,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Uhřínov,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Velké Meziříčí,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Vídeň,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,,,
Dolní Poustevna,Děčín,Ústecký kraj,OOP Velký Šenov,,,
Lipová,Děčín,Ústecký kraj,OOP Velký Šenov,,,
Lobendava,Děčín,Ústecký kraj,OOP Velký Šenov,,,
Mikulášovice,Děčín,Ústecký kraj,OOP Velký Šenov,,,
Velký Šenov,Děčín,Ústecký kraj,OOP Velký Šenov,,,
Vilémov,Děčín,Ústecký kraj,OOP Velký Šenov,,,
Borkovice,Tábor,Jihočeský kraj,OOP Veselí nad Lužnicí,,,
Drahov,Tábor,Jihočeský kraj,OOP Veselí nad Lužnicí,,,
Mažice,Tábor,Jihočeský kraj,OOP Veselí nad Lužnicí,,,
Řípec,Tábor,Jihočeský kraj,OOP Veselí nad Lužnicí,,,
Sviny,Tábor,Jihočeský kraj,OOP Veselí nad Lužnicí,,,
Val,Tábor,Jihočeský kraj,OOP Veselí nad Lužnicí,,,
Veselí nad Lužnicí,Tábor,Jihočeský kraj,OOP Veselí nad Lužnicí,,,
Vlkov,Tábor,Jihočeský kraj,OOP Veselí nad Lužnicí,,,
Zálší,Tábor,Jihočeský kraj,OOP Veselí nad Lužnicí,,,
Žíšov,Tábor,Jihočeský kraj,OOP Veselí nad Lužnicí,,,
Zlukov,Tábor,Jihočeský kraj,OOP Veselí nad Lužnicí,,,
Blatnice pod Svatým Antonínkem,Hodonín,Jihomoravský kraj,OOP Veselí nad Moravou,,,
Blatnička,Hodonín,Jihomoravský kraj,OOP Veselí nad Moravou,,,
Hroznová Lhota,Hodonín,Jihomoravský kraj,OOP Veselí nad Moravou,,,
Hrubá Vrbka,Hodonín,Jihomoravský kraj,OOP Veselí nad Moravou,,,
Javorník,Hodonín,Jihomoravský kraj,OOP Veselí nad Moravou,,,
Kozojídky,Hodonín,Jihomoravský kraj,OOP Veselí nad Moravou,,,
Kuželov,Hodonín,Jihomoravský kraj,OOP Veselí nad Moravou,,,
Lipov,Hodonín,Jihomoravský kraj,OOP Veselí nad Moravou,,,
Louka,Hodonín,Jihomoravský kraj,OOP Veselí nad Moravou,,,
Malá Vrbka,Hodonín,Jihomoravský kraj,OOP Veselí nad Moravou,,,
Nová Lhota,Hodonín,Jihomoravský kraj,OOP Veselí nad Moravou,,,
Suchov,Hodonín,Jihomoravský kraj,OOP Veselí nad Moravou,,,
Tasov,Hodonín,Jihomoravský kraj,OOP Veselí nad Moravou,,,
Velká nad Veličkou,Hodonín,Jihomoravský kraj,OOP Veselí nad Moravou,,,
Veselí nad Moravou,Hodonín,Jihomoravský kraj,OOP Veselí nad Moravou,,,
Vnorovy,Hodonín,Jihomoravský kraj,OOP Veselí nad Moravou,,,
Žeraviny,Hodonín,Jihomoravský kraj,OOP Veselí nad Moravou,,,
Bohdalovice,Český Krumlov,Jihočeský kraj,OOP Větřní,,,2
Kájov,Český Krumlov,Jihočeský kraj,OOP Větřní,,,2
Světlík,Český Krumlov,Jihočeský kraj,OOP Větřní,,,2
Větřní,Český Krumlov,Jihočeský kraj,OOP Větřní,,,2
Bohumilice,Prachatice,Jihočeský kraj,OOP Vimperk,,,
Bošice,Prachatice,Jihočeský kraj,OOP Vimperk,,,
Buk,Prachatice,Jihočeský kraj,OOP Vimperk,,,
Čkyně,Prachatice,Jihočeský kraj,OOP Vimperk,,,
Lčovice,Prachatice,Jihočeský kraj,OOP Vimperk,,,
Nicov,Prachatice,Jihočeský kraj,OOP Vimperk,,,
Stachy,Prachatice,Jihočeský kraj,OOP Vimperk,,,
Šumavské Hoštice,Prachatice,Jihočeský kraj,OOP Vimperk,,,
Svatá Maří,Prachatice,Jihočeský kraj,OOP Vimperk,,,
Vacov,Prachatice,Jihočeský kraj,OOP Vimperk,,,
Vimperk,Prachatice,Jihočeský kraj,OOP Vimperk,,,
Vrbice,Prachatice,Jihočeský kraj,OOP Vimperk,,,
Zálezly,Prachatice,Jihočeský kraj,OOP Vimperk,,,
Žárovná,Prachatice,Jihočeský kraj,OOP Vimperk,,,
Zdíkov,Prachatice,Jihočeský kraj,OOP Vimperk,,,
Budišov nad Budišovkou,Opava,Moravskoslezský kraj,OOP Vítkov,,,
Čermná ve Slezsku,Opava,Moravskoslezský kraj,OOP Vítkov,,,
Kružberk,Opava,Moravskoslezský kraj,OOP Vítkov,,,
Melč,Opava,Moravskoslezský kraj,OOP Vítkov,,,
Mikolajice,Opava,Moravskoslezský kraj,OOP Vítkov,,,
Moravice,Opava,Moravskoslezský kraj,OOP Vítkov,,,
Nové Lublice,Opava,Moravskoslezský kraj,OOP Vítkov,,,
Radkov,Opava,Moravskoslezský kraj,OOP Vítkov,,,
Staré Těchanovice,Opava,Moravskoslezský kraj,OOP Vítkov,,,
Svatoňovice,Opava,Moravskoslezský kraj,OOP Vítkov,,,
Větřkovice,Opava,Moravskoslezský kraj,OOP Vítkov,,,
Vítkov,Opava,Moravskoslezský kraj,OOP Vítkov,,,
Bratřejov,Zlín,Zlínský kraj,OOP Vizovice,,,
Březová,Zlín,Zlínský kraj,OOP Vizovice,,,
Dešná,Zlín,Zlínský kraj,OOP Vizovice,,,
Jasenná,Zlín,Zlínský kraj,OOP Vizovice,,,
KLEČŮVKA,Zlín,Zlínský kraj,OOP Vizovice,666041,OOP Zlín,2
Lhotsko,Zlín,Zlínský kraj,OOP Vizovice,,,
Lípa,Zlín,Zlínský kraj,OOP Vizovice,,,
Lutonina,Zlín,Zlínský kraj,OOP Vizovice,,,
LUŽKOVICE,Zlín,Zlínský kraj,OOP Vizovice,795887,OOP Zlín,2
Neubuz,Zlín,Zlínský kraj,OOP Vizovice,,,
Slušovice,Zlín,Zlínský kraj,OOP Vizovice,,,
Ublo,Zlín,Zlínský kraj,OOP Vizovice,,,
Veselá,Zlín,Zlínský kraj,OOP Vizovice,,,
Vizovice,Zlín,Zlínský kraj,OOP Vizovice,,,
Všemina,Zlín,Zlínský kraj,OOP Vizovice,,,
Zádveřice-Raková,Zlín,Zlínský kraj,OOP Vizovice,,,
Želechovice nad Dřevnicí,Zlín,Zlínský kraj,OOP Vizovice,,,
Bílkovice,Benešov,Středočeský kraj,OOP Vlašim,,,
Chotýšany,Benešov,Středočeský kraj,OOP Vlašim,,,
Ctiboř,Benešov,Středočeský kraj,OOP Vlašim,,,
Divišov,Benešov,Středočeský kraj,OOP Vlašim,,,
Hradiště,Benešov,Středočeský kraj,OOP Vlašim,,,
Kamberk,Benešov,Středočeský kraj,OOP Vlašim,,,
Kladruby,Benešov,Středočeský kraj,OOP Vlašim,,,
Kondrac,Benešov,Středočeský kraj,OOP Vlašim,,,
Libež,Benešov,Středočeský kraj,OOP Vlašim,,,
Litichovice,Benešov,Středočeský kraj,OOP Vlašim,,,
Louňovice pod Blaníkem,Benešov,Středočeský kraj,OOP Vlašim,,,
Ostrov,Benešov,Středočeský kraj,OOP Vlašim,,,
Pavlovice,Benešov,Středočeský kraj,OOP Vlašim,,,
Popovice,Benešov,Středočeský kraj,OOP Vlašim,,,
Postupice,Benešov,Středočeský kraj,OOP Vlašim,,,
Psáře,Benešov,Středočeský kraj,OOP Vlašim,,,
Radošovice,Benešov,Středočeský kraj,OOP Vlašim,,,
Rataje,Benešov,Středočeský kraj,OOP Vlašim,,,
Řimovice,Benešov,Středočeský kraj,OOP Vlašim,,,
Slověnice,Benešov,Středočeský kraj,OOP Vlašim,,,
Tehov,Benešov,Středočeský kraj,OOP Vlašim,,,
Tichonice,Benešov,Středočeský kraj,OOP Vlašim,,,
Třebešice,Benešov,Středočeský kraj,OOP Vlašim,,,
Veliš,Benešov,Středočeský kraj,OOP Vlašim,,,
Vlašim,Benešov,Středočeský kraj,OOP Vlašim,,,
Vracovice,Benešov,Středočeský kraj,OOP Vlašim,,,
Všechlapy,Benešov,Středočeský kraj,OOP Vlašim,,,
Bavorov,Strakonice,Jihočeský kraj,OOP Vodňany,,,
Bílsko,Strakonice,Jihočeský kraj,OOP Vodňany,,,
Budyně,Strakonice,Jihočeský kraj,OOP Vodňany,,,
Cehnice,Strakonice,Jihočeský kraj,OOP Vodňany,,,
Chelčice,Strakonice,Jihočeský kraj,OOP Vodňany,,,
Číčenice,Strakonice,Jihočeský kraj,OOP Vodňany,,,
Drahonice,Strakonice,Jihočeský kraj,OOP Vodňany,,,
Hájek,Strakonice,Jihočeský kraj,OOP Vodňany,,,
Krajníčko,Strakonice,Jihočeský kraj,OOP Vodňany,,,
Krašlovice,Strakonice,Jihočeský kraj,OOP Vodňany,,,
Kuřimany,Strakonice,Jihočeský kraj,OOP Vodňany,,,
Kváskovice,Strakonice,Jihočeský kraj,OOP Vodňany,,,
Libějovice,Strakonice,Jihočeský kraj,OOP Vodňany,,,
Měkynec,Strakonice,Jihočeský kraj,OOP Vodňany,,,
Paračov,Strakonice,Jihočeský kraj,OOP Vodňany,,,
Pivkovice,Strakonice,Jihočeský kraj,OOP Vodňany,,,
Pohorovice,Strakonice,Jihočeský kraj,OOP Vodňany,,,
Radějovice,Strakonice,Jihočeský kraj,OOP Vodňany,,,
Skály,Strakonice,Jihočeský kraj,OOP Vodňany,,,
Skočice,Strakonice,Jihočeský kraj,OOP Vodňany,,,
Stožice,Strakonice,Jihočeský kraj,OOP Vodňany,,,
Třešovice,Strakonice,Jihočeský kraj,OOP Vodňany,,,
Truskovice,Strakonice,Jihočeský kraj,OOP Vodňany,,,
Vodňany,Strakonice,Jihočeský kraj,OOP Vodňany,,,
,Strakonice,Jihočeský kraj,OOP Vodňany,696935,OOP Radomyšl,3
,Strakonice,Jihočeský kraj,OOP Vodňany,696943,OOP Radomyšl,3
Chlumín,Mělník,Středočeský kraj,OOP Vojkovice,,,
Dřínov,Mělník,Středočeský kraj,OOP Vojkovice,,,
Hostín u Vojkovic,Mělník,Středočeský kraj,OOP Vojkovice,,,
Obříství,Mělník,Středočeský kraj,OOP Vojkovice,,,
Újezdec,Mělník,Středočeský kraj,OOP Vojkovice,,,
Úžice,Mělník,Středočeský kraj,OOP Vojkovice,,,
Veltrusy,Mělník,Středočeský kraj,OOP Vojkovice,,,
Vojkovice,Mělník,Středočeský kraj,OOP Vojkovice,,,
Všestudy,Mělník,Středočeský kraj,OOP Vojkovice,,,
Zálezlice,Mělník,Středočeský kraj,OOP Vojkovice,,,
Zlosyň,Mělník,Středočeský kraj,OOP Vojkovice,,,
Křišťanov,Prachatice,Jihočeský kraj,OOP Volary,,,
Nová Pec,Prachatice,Jihočeský kraj,OOP Volary,,,
Stožec,Prachatice,Jihočeský kraj,OOP Volary,,,
Volary,Prachatice,Jihočeský kraj,OOP Volary,,,
Zbytiny,Prachatice,Jihočeský kraj,OOP Volary,,,
Želnava,Prachatice,Jihočeský kraj,OOP Volary,,,
Čepřovice,Strakonice,Jihočeský kraj,OOP Volyně,,,
Čestice,Strakonice,Jihočeský kraj,OOP Volyně,,,
Drážov,Strakonice,Jihočeský kraj,OOP Volyně,,,
Dřešín,Strakonice,Jihočeský kraj,OOP Volyně,,,
Hoslovice,Strakonice,Jihočeský kraj,OOP Volyně,,,
Hoštice,Strakonice,Jihočeský kraj,OOP Volyně,,,
Kalenice,Strakonice,Jihočeský kraj,OOP Volyně,,,
Kraselov,Strakonice,Jihočeský kraj,OOP Volyně,,,
Krejnice,Strakonice,Jihočeský kraj,OOP Volyně,,,
Libětice,Strakonice,Jihočeský kraj,OOP Volyně,,,
Litochovice,Strakonice,Jihočeský kraj,OOP Volyně,,,
Malenice,Strakonice,Jihočeský kraj,OOP Volyně,,,
Milejovice,Strakonice,Jihočeský kraj,OOP Volyně,,,
Miloňovice,Strakonice,Jihočeský kraj,OOP Volyně,,,
Němčice,Strakonice,Jihočeský kraj,OOP Volyně,,,
Němětice,Strakonice,Jihočeský kraj,OOP Volyně,,,
Nihošovice,Strakonice,Jihočeský kraj,OOP Volyně,,,
