Rudník,Trutnov,Královéhradecký kraj,OOP Hostinné,2247.0
Petrovice u Karviné,Karviná,Moravskoslezský kraj,OOP Karviná 7,5203.0
Pletený Újezd,Kladno,Středočeský kraj,OOP Unhošť,477.0
Samšín,Pelhřimov,Kraj Vysočina,OOP Pacov,163.0
Oloví,Sokolov,Karlovarský kraj,OOP Kraslice,1856.0
Blešno,Hradec Králové,Královéhradecký kraj,OOP Třebechovice pod Orebem,355.0
Svatý Jan nad Malší,České Budějovice,Jihočeský kraj,OOP Trhové Sviny,524.0
Chrastava,Liberec,Liberecký kraj,OOP Chrastava,6293.0
Plandry,Jihlava,Kraj Vysočina,OOP Jihlava,187.0
Mysliboř,Jihlava,Kraj Vysočina,OOP Telč,205.0
Drachkov,Strakonice,Jihočeský kraj,OOP Radomyšl,166.0
Odrovice,Brno-venkov,Jihomoravský kraj,OOP Pohořelice,207.0
Rochlov,Plzeň-sever,Plzeňský kraj,OOP Nýřany,250.0
Chornice,Svitavy,Pardubický kraj,OOP Moravská Třebová,874.0
České Budějovice,České Budějovice,Jihočeský kraj,OOP České Budějovice,93645.0
Chrbonín,Tábor,Jihočeský kraj,OOP Sezimovo Ústí,147.0
Komárno,Kroměříž,Zlínský kraj,OOP Bystřice pod Hostýnem,307.0
Loštice,Šumperk,Olomoucký kraj,OOP Mohelnice,3014.0
Odry,Nový Jičín,Moravskoslezský kraj,OOP Odry,7444.0
Veleň,Praha-východ,Středočeský kraj,OOP Brandýs nad Labem,916.0
Prosiměřice,Znojmo,Jihomoravský kraj,OOP Znojmo,808.0
Senetářov,Blansko,Jihomoravský kraj,OOP Blansko,524.0
Horní Lideč,Vsetín,Zlínský kraj,OOP Horní Lideč,1426.0
Černčice,Náchod,Královéhradecký kraj,OOP Nové Město nad Metují,1868.0
Strukov,Olomouc,Olomoucký kraj,OOP Šternberk,144.0
Rousměrov,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,131.0
Kořenov,Jablonec nad Nisou,Liberecký kraj,OOP Tanvald,973.0
Jiřice u Moravských Budějovic,Znojmo,Jihomoravský kraj,OOP Jevišovice,65.0
Lišice,Hradec Králové,Královéhradecký kraj,OOP Chlumec nad Cidlinou,161.0
Lošany,Kolín,Středočeský kraj,OOP Kouřim,339.0
Bystrá nad Jizerou,Semily,Liberecký kraj,OOP Semily,122.0
Seč,Chrudim,Pardubický kraj,OOP Třemošnice,2108.0
Hájek,Strakonice,Jihočeský kraj,OOP Vodňany,546.0
Lišany,Rakovník,Středočeský kraj,OOP Rakovník,830.0
Milíčovice,Znojmo,Jihomoravský kraj,OOP Znojmo,208.0
Buková u Příbramě,Příbram,Středočeský kraj,OOP Dobříš,293.0
Vícemil,Jindřichův Hradec,Jihočeský kraj,OOP Jindřichův Hradec,81.0
