Id,Vykazovane_zjisteno_mvcr,Vykazovane_objasneno_mvcr,FK_Crime_Lookup,FK_Area_Lookup,FK_Time_Range,Vykazovane_zjisteno_mesic,Vykazovane_objasneno_mesic,FK_District_Lookup
410,449,40,5,2,1,449,40,0
411,287,34,5,3,1,287,34,0
412,82,16,5,4,1,82,16,0
413,76,12,5,5,1,76,12,0
414,175,45,5,6,1,175,45,0
415,73,7,5,7,1,73,7,0
416,192,21,5,8,1,192,21,0
417,189,13,5,9,1,189,13,0
418,99,9,5,10,1,99,9,0
419,61,6,5,11,1,61,6,0
420,56,9,5,12,1,56,9,0
421,60,6,5,13,1,60,6,0
422,77,12,5,14,1,77,12,0
423,44,8,5,15,1,44,8,0
424,81,12,5,0,1,81,12,1
425,107,11,5,0,1,107,11,2
426,111,10,5,0,1,111,10,3
427,150,7,5,0,1,150,7,4
428,0,0,5,0,1,0,0,5
429,13,2,5,0,1,13,2,6
430,11,1,5,0,1,11,1,7
431,29,1,5,0,1,29,1,8
432,20,3,5,0,1,20,3,9
433,12,8,5,0,1,12,8,10
434,17,1,5,0,1,17,1,11
435,34,3,5,0,1,34,3,12
436,18,2,5,0,1,18,2,13
437,46,3,5,0,1,46,3,14
438,11,0,5,0,1,11,0,15
439,29,2,5,0,1,29,2,16
440,24,4,5,0,1,24,4,17
441,23,4,5,0,1,23,4,18
442,25,3,5,0,1,25,3,19
443,5,1,5,0,1,5,1,20
444,18,7,5,0,1,18,7,21
445,13,0,5,0,1,13,0,22
446,3,0,5,0,1,3,0,23
447,3,0,5,0,1,3,0,24
448,15,5,5,0,1,15,5,25
449,7,3,5,0,1,7,3,26
450,9,4,5,0,1,9,4,27
451,42,3,5,0,1,42,3,28
452,7,0,5,0,1,7,0,29
453,3,2,5,0,1,3,2,30
454,3,0,5,0,1,3,0,31
455,5,0,5,0,1,5,0,32
456,34,6,5,0,1,34,6,33
457,22,7,5,0,1,22,7,34
458,20,4,5,0,1,20,4,35
459,15,7,5,0,1,15,7,36
460,22,3,5,0,1,22,3,37
461,25,10,5,0,1,25,10,38
462,37,8,5,0,1,37,8,39
463,18,1,5,0,1,18,1,40
464,7,0,5,0,1,7,0,41
465,20,4,5,0,1,20,4,42
466,5,1,5,0,1,5,1,43
467,23,1,5,0,1,23,1,44
468,0,0,5,0,1,0,0,45
469,95,9,5,0,1,95,9,46
470,23,5,5,0,1,23,5,47
471,17,1,5,0,1,17,1,48
472,10,2,5,0,1,10,2,49
473,23,0,5,0,1,23,0,50
474,24,4,5,0,1,24,4,51
475,0,0,5,0,1,0,0,52
476,0,0,5,0,1,0,0,53
477,13,2,5,0,1,13,2,54
478,20,0,5,0,1,20,0,55
479,44,3,5,0,1,44,3,56
480,9,2,5,0,1,9,2,57
481,17,1,5,0,1,17,1,58
482,86,5,5,0,1,86,5,59
483,0,0,5,0,1,0,0,60
484,48,7,5,0,1,48,7,61
485,19,0,5,0,1,19,0,62
486,17,1,5,0,1,17,1,63
487,6,1,5,0,1,6,1,64
488,9,0,5,0,1,9,0,65
489,26,3,5,0,1,26,3,66
490,10,1,5,0,1,10,1,67
491,13,1,5,0,1,13,1,68
492,12,1,5,0,1,12,1,69
493,19,2,5,0,1,19,2,70
494,12,2,5,0,1,12,2,71
495,11,2,5,0,1,11,2,72
496,8,1,5,0,1,8,1,73
497,6,2,5,0,1,6,2,74
498,10,0,5,0,1,10,0,75
499,24,1,5,0,1,24,1,76
500,11,4,5,0,1,11,4,77
501,15,1,5,0,1,15,1,78
502,0,0,5,0,1,0,0,79
503,19,5,5,0,1,19,5,80
504,23,2,5,0,1,23,2,81
505,28,5,5,0,1,28,5,82
506,7,0,5,0,1,7,0,83
507,9,2,5,0,1,9,2,84
508,25,2,5,0,1,25,2,85
